payment_id,order_id,campaign_id,user_id,payment_amount,payment_status,payment_time
P00550,O00550,C001,U0083,80,paid,2026-05-01 18:25:00
P00561,O00561,C005,U0185,100,paid,2026-05-01 18:36:00
P00572,O00572,C001,U0022,120,paid,2026-05-01 18:47:00
P00583,O00583,C005,U0080,140,paid,2026-05-01 18:58:00
P00594,O00594,C005,U0158,160,paid,2026-05-01 19:09:00
P00605,O00605,C001,U0024,80,paid,2026-05-01 19:20:00
P00616,O00616,C001,U0070,100,paid,2026-05-01 19:31:00
P00627,O00627,C003,U0012,120,paid,2026-05-01 19:42:00
P00638,O00638,C005,U0181,140,paid,2026-05-01 19:53:00
P00649,O00649,C001,U0104,160,paid,2026-05-01 20:04:00
P00660,O00660,C003,U0200,80,paid,2026-05-01 20:15:00
P00671,O00671,C001,U0046,100,paid,2026-05-01 20:26:00
P00682,O00682,C003,U0130,120,paid,2026-05-01 20:37:00
P00693,O00693,C005,U0167,140,paid,2026-05-01 20:48:00
P00704,O00704,C005,U0041,160,paid,2026-05-01 20:59:00
P00715,O00715,C005,U0039,80,paid,2026-05-01 21:10:00
P00726,O00726,C004,U0131,100,paid,2026-05-01 21:21:00
P00737,O00737,C005,U0010,120,paid,2026-05-01 21:32:00
P00748,O00748,C004,U0060,140,paid,2026-05-01 21:43:00
P00759,O00759,C003,U0014,160,paid,2026-05-01 21:54:00
P00770,O00770,C001,U0102,80,paid,2026-05-01 22:05:00
P00781,O00781,C005,U0002,100,paid,2026-05-01 22:16:00
P00792,O00792,C001,U0029,120,paid,2026-05-01 22:27:00
P00803,O00803,C003,U0018,140,paid,2026-05-01 22:38:00
P00814,O00814,C001,U0198,160,paid,2026-05-01 22:49:00
P00825,O00825,C003,U0052,80,paid,2026-05-01 23:00:00
P00836,O00836,C001,U0095,100,paid,2026-05-01 23:11:00
P00847,O00847,C003,U0083,120,paid,2026-05-01 23:22:00
P00858,O00858,C004,U0094,140,paid,2026-05-01 23:33:00
P00869,O00869,C004,U0095,160,paid,2026-05-01 23:44:00
P00880,O00880,C003,U0199,80,paid,2026-05-01 23:55:00
P00891,O00891,C001,U0141,100,paid,2026-05-02 00:06:00
P00902,O00902,C002,U0157,120,paid,2026-05-02 00:17:00
P00913,O00913,C002,U0200,140,paid,2026-05-02 00:28:00
P00924,O00924,C001,U0065,160,paid,2026-05-02 00:39:00
P00935,O00935,C005,U0087,80,paid,2026-05-02 00:50:00
P00946,O00946,C002,U0176,100,paid,2026-05-02 01:01:00
P00957,O00957,C002,U0195,120,paid,2026-05-02 01:12:00
P00968,O00968,C003,U0148,140,paid,2026-05-02 01:23:00
P00979,O00979,C003,U0127,160,paid,2026-05-02 01:34:00
P00990,O00990,C003,U0142,80,paid,2026-05-02 01:45:00
P01001,O01001,C002,U0051,100,paid,2026-05-02 01:56:00
P01012,O01012,C004,U0158,120,paid,2026-05-02 02:07:00
P01023,O01023,C004,U0068,140,paid,2026-05-02 02:18:00
P01034,O01034,C001,U0113,160,paid,2026-05-02 02:29:00
P01045,O01045,C004,U0081,80,paid,2026-05-02 02:40:00
P01056,O01056,C004,U0082,100,paid,2026-05-02 02:51:00
P01067,O01067,C003,U0192,120,paid,2026-05-02 03:02:00
P01078,O01078,C003,U0184,140,paid,2026-05-02 03:13:00
P01089,O01089,C005,U0060,160,paid,2026-05-02 03:24:00
P01100,O01100,C005,U0135,80,paid,2026-05-02 03:35:00
P01111,O01111,C002,U0045,100,paid,2026-05-02 03:46:00
P01122,O01122,C003,U0085,120,paid,2026-05-02 03:57:00
P01133,O01133,C001,U0164,140,paid,2026-05-02 04:08:00
P01144,O01144,C002,U0175,160,paid,2026-05-02 04:19:00
P01155,O01155,C004,U0030,80,paid,2026-05-02 04:30:00
P01166,O01166,C001,U0102,100,paid,2026-05-02 04:41:00
P01177,O01177,C004,U0096,120,paid,2026-05-02 04:52:00
P01188,O01188,C004,U0173,140,paid,2026-05-02 05:03:00
P01199,O01199,C001,U0153,160,paid,2026-05-02 05:14:00
P01210,O01210,C005,U0154,80,paid,2026-05-02 05:25:00
P01221,O01221,C004,U0135,100,paid,2026-05-02 05:36:00
P01232,O01232,C005,U0136,120,paid,2026-05-02 05:47:00
P01243,O01243,C002,U0195,140,paid,2026-05-02 05:58:00
P01254,O01254,C002,U0142,160,paid,2026-05-02 06:09:00
P01265,O01265,C004,U0012,80,paid,2026-05-02 06:20:00
P01276,O01276,C003,U0066,100,paid,2026-05-02 06:31:00
P01287,O01287,C001,U0106,120,paid,2026-05-02 06:42:00
P01298,O01298,C001,U0005,140,paid,2026-05-02 06:53:00
P01309,O01309,C003,U0102,160,paid,2026-05-02 07:04:00
P01320,O01320,C002,U0022,80,paid,2026-05-02 07:15:00
P01331,O01331,C001,U0046,100,paid,2026-05-02 07:26:00
P01342,O01342,C001,U0129,120,paid,2026-05-02 07:37:00
P01353,O01353,C004,U0111,140,paid,2026-05-02 07:48:00
P01364,O01364,C003,U0028,160,paid,2026-05-02 07:59:00
P01375,O01375,C003,U0142,80,paid,2026-05-02 08:10:00
P01386,O01386,C002,U0069,100,paid,2026-05-02 08:21:00
P01397,O01397,C004,U0028,120,paid,2026-05-02 08:32:00
P01408,O01408,C003,U0046,140,paid,2026-05-02 08:43:00
P01419,O01419,C004,U0182,160,paid,2026-05-02 08:54:00
P01430,O01430,C005,U0103,80,paid,2026-05-02 09:05:00
P01441,O01441,C003,U0111,100,paid,2026-05-02 09:16:00
P01452,O01452,C003,U0007,120,paid,2026-05-02 09:27:00
P01463,O01463,C001,U0077,140,paid,2026-05-02 09:38:00
P01474,O01474,C004,U0162,160,paid,2026-05-02 09:49:00
P01485,O01485,C001,U0138,80,paid,2026-05-02 10:00:00
P01496,O01496,C005,U0045,100,paid,2026-05-02 10:11:00
P01507,O01507,C004,U0048,120,paid,2026-05-02 10:22:00
P01518,O01518,C004,U0144,140,paid,2026-05-02 10:33:00
P01529,O01529,C004,U0145,160,paid,2026-05-02 10:44:00
P01540,O01540,C002,U0077,80,paid,2026-05-02 10:55:00
P01551,O01551,C002,U0053,100,paid,2026-05-02 11:06:00
P01562,O01562,C003,U0168,120,paid,2026-05-02 11:17:00
P01573,O01573,C005,U0192,140,paid,2026-05-02 11:28:00
P01584,O01584,C003,U0083,160,paid,2026-05-02 11:39:00
P01595,O01595,C002,U0177,80,paid,2026-05-02 11:50:00
P01606,O01606,C001,U0001,100,paid,2026-05-02 12:01:00
P01617,O01617,C004,U0023,120,paid,2026-05-02 12:12:00
P01628,O01628,C002,U0161,140,paid,2026-05-02 12:23:00
P01639,O01639,C001,U0064,160,paid,2026-05-02 12:34:00
P01650,O01650,C001,U0062,80,paid,2026-05-02 12:45:00
P01661,O01661,C005,U0018,100,paid,2026-05-02 12:56:00
P01672,O01672,C003,U0021,120,paid,2026-05-02 13:07:00
P01683,O01683,C005,U0015,140,paid,2026-05-02 13:18:00
P01694,O01694,C001,U0198,160,paid,2026-05-02 13:29:00
P01705,O01705,C002,U0066,80,paid,2026-05-02 13:40:00
P01716,O01716,C003,U0064,100,paid,2026-05-02 13:51:00
P01727,O01727,C003,U0084,120,paid,2026-05-02 14:02:00
P01738,O01738,C002,U0039,140,paid,2026-05-02 14:13:00
P01749,O01749,C002,U0183,160,paid,2026-05-02 14:24:00
P01760,O01760,C002,U0061,80,paid,2026-05-02 14:35:00
P01771,O01771,C004,U0031,100,paid,2026-05-02 14:46:00
P01782,O01782,C004,U0132,120,paid,2026-05-02 14:57:00
P01793,O01793,C002,U0034,140,paid,2026-05-02 15:08:00
P01804,O01804,C002,U0147,160,paid,2026-05-02 15:19:00
P01815,O01815,C003,U0128,80,paid,2026-05-02 15:30:00
P01826,O01826,C003,U0145,100,paid,2026-05-02 15:41:00
P01837,O01837,C002,U0169,120,paid,2026-05-02 15:52:00
P01848,O01848,C003,U0146,140,paid,2026-05-02 16:03:00
P01859,O01859,C005,U0052,160,paid,2026-05-02 16:14:00
P01870,O01870,C003,U0083,80,paid,2026-05-02 16:25:00
P01881,O01881,C002,U0187,100,paid,2026-05-02 16:36:00
P01892,O01892,C003,U0082,120,paid,2026-05-02 16:47:00
P01903,O01903,C004,U0127,140,paid,2026-05-02 16:58:00
P01914,O01914,C002,U0097,160,paid,2026-05-02 17:09:00
P01925,O01925,C002,U0105,80,paid,2026-05-02 17:20:00
P01936,O01936,C005,U0123,100,paid,2026-05-02 17:31:00
P01947,O01947,C004,U0095,120,paid,2026-05-02 17:42:00
P01958,O01958,C005,U0016,140,paid,2026-05-02 17:53:00
P01969,O01969,C001,U0194,160,paid,2026-05-02 18:04:00
P01980,O01980,C004,U0142,80,paid,2026-05-02 18:15:00
P01991,O01991,C005,U0200,100,paid,2026-05-02 18:26:00
