click_id,touch_id,campaign_id,user_id,click_time
CLK00288,T00288,C004,U0079,2026-05-01 13:51:00
CLK00291,T00291,C001,U0196,2026-05-01 13:54:00
CLK00294,T00294,C001,U0041,2026-05-01 13:57:00
CLK00297,T00297,C002,U0001,2026-05-01 14:00:00
CLK00300,T00300,C003,U0009,2026-05-01 14:03:00
CLK00303,T00303,C004,U0019,2026-05-01 14:06:00
CLK00306,T00306,C002,U0109,2026-05-01 14:09:00
CLK00309,T00309,C002,U0069,2026-05-01 14:12:00
CLK00312,T00312,C003,U0153,2026-05-01 14:15:00
CLK00315,T00315,C004,U0177,2026-05-01 14:18:00
CLK00318,T00318,C005,U0139,2026-05-01 14:21:00
CLK00321,T00321,C001,U0111,2026-05-01 14:24:00
CLK00324,T00324,C001,U0059,2026-05-01 14:27:00
CLK00327,T00327,C003,U0148,2026-05-01 14:30:00
CLK00330,T00330,C005,U0167,2026-05-01 14:33:00
CLK00333,T00333,C004,U0163,2026-05-01 14:36:00
CLK00336,T00336,C004,U0086,2026-05-01 14:39:00
CLK00339,T00339,C003,U0106,2026-05-01 14:42:00
CLK00342,T00342,C005,U0010,2026-05-01 14:45:00
CLK00345,T00345,C003,U0030,2026-05-01 14:48:00
CLK00348,T00348,C005,U0119,2026-05-01 14:51:00
CLK00351,T00351,C003,U0160,2026-05-01 14:54:00
CLK00354,T00354,C001,U0053,2026-05-01 14:57:00
CLK00357,T00357,C004,U0179,2026-05-01 15:00:00
CLK00360,T00360,C005,U0062,2026-05-01 15:03:00
CLK00363,T00363,C005,U0105,2026-05-01 15:06:00
CLK00366,T00366,C001,U0166,2026-05-01 15:09:00
CLK00369,T00369,C003,U0107,2026-05-01 15:12:00
CLK00372,T00372,C005,U0038,2026-05-01 15:15:00
CLK00375,T00375,C002,U0018,2026-05-01 15:18:00
CLK00378,T00378,C005,U0069,2026-05-01 15:21:00
CLK00381,T00381,C005,U0169,2026-05-01 15:24:00
CLK00384,T00384,C004,U0089,2026-05-01 15:27:00
CLK00387,T00387,C004,U0083,2026-05-01 15:30:00
CLK00390,T00390,C004,U0060,2026-05-01 15:33:00
CLK00393,T00393,C004,U0181,2026-05-01 15:36:00
CLK00396,T00396,C001,U0033,2026-05-01 15:39:00
CLK00399,T00399,C004,U0026,2026-05-01 15:42:00
CLK00402,T00402,C002,U0105,2026-05-01 15:45:00
CLK00405,T00405,C003,U0160,2026-05-01 15:48:00
CLK00408,T00408,C005,U0098,2026-05-01 15:51:00
CLK00411,T00411,C001,U0159,2026-05-01 15:54:00
CLK00414,T00414,C001,U0112,2026-05-01 15:57:00
CLK00417,T00417,C002,U0178,2026-05-01 16:00:00
CLK00420,T00420,C001,U0076,2026-05-01 16:03:00
CLK00423,T00423,C002,U0136,2026-05-01 16:06:00
CLK00426,T00426,C002,U0021,2026-05-01 16:09:00
CLK00429,T00429,C002,U0128,2026-05-01 16:12:00
CLK00432,T00432,C003,U0118,2026-05-01 16:15:00
CLK00435,T00435,C003,U0174,2026-05-01 16:18:00
CLK00438,T00438,C003,U0151,2026-05-01 16:21:00
CLK00441,T00441,C003,U0117,2026-05-01 16:24:00
CLK00444,T00444,C001,U0061,2026-05-01 16:27:00
CLK00447,T00447,C003,U0180,2026-05-01 16:30:00
CLK00450,T00450,C001,U0145,2026-05-01 16:33:00
CLK00453,T00453,C002,U0156,2026-05-01 16:36:00
CLK00456,T00456,C003,U0174,2026-05-01 16:39:00
CLK00459,T00459,C001,U0080,2026-05-01 16:42:00
CLK00462,T00462,C002,U0024,2026-05-01 16:45:00
CLK00465,T00465,C002,U0034,2026-05-01 16:48:00
CLK00468,T00468,C003,U0043,2026-05-01 16:51:00
CLK00471,T00471,C003,U0030,2026-05-01 16:54:00
CLK00474,T00474,C002,U0174,2026-05-01 16:57:00
CLK00477,T00477,C004,U0004,2026-05-01 17:00:00
CLK00480,T00480,C003,U0173,2026-05-01 17:03:00
CLK00483,T00483,C003,U0028,2026-05-01 17:06:00
CLK00486,T00486,C005,U0084,2026-05-01 17:09:00
CLK00489,T00489,C004,U0180,2026-05-01 17:12:00
CLK00492,T00492,C002,U0012,2026-05-01 17:15:00
CLK00495,T00495,C001,U0061,2026-05-01 17:18:00
CLK00498,T00498,C003,U0172,2026-05-01 17:21:00
CLK00501,T00501,C002,U0107,2026-05-01 17:24:00
CLK00504,T00504,C003,U0009,2026-05-01 17:27:00
CLK00507,T00507,C002,U0093,2026-05-01 17:30:00
CLK00510,T00510,C003,U0016,2026-05-01 17:33:00
CLK00513,T00513,C004,U0024,2026-05-01 17:36:00
CLK00516,T00516,C001,U0086,2026-05-01 17:39:00
CLK00519,T00519,C001,U0196,2026-05-01 17:42:00
CLK00522,T00522,C002,U0085,2026-05-01 17:45:00
CLK00525,T00525,C002,U0034,2026-05-01 17:48:00
CLK00528,T00528,C001,U0034,2026-05-01 17:51:00
CLK00531,T00531,C003,U0005,2026-05-01 17:54:00
CLK00534,T00534,C004,U0135,2026-05-01 17:57:00
CLK00537,T00537,C004,U0200,2026-05-01 18:00:00
CLK00540,T00540,C004,U0129,2026-05-01 18:03:00
CLK00543,T00543,C005,U0078,2026-05-01 18:06:00
CLK00546,T00546,C004,U0103,2026-05-01 18:09:00
CLK00549,T00549,C004,U0019,2026-05-01 18:12:00
CLK00552,T00552,C001,U0033,2026-05-01 18:15:00
CLK00555,T00555,C003,U0098,2026-05-01 18:18:00
CLK00558,T00558,C005,U0155,2026-05-01 18:21:00
CLK00561,T00561,C005,U0185,2026-05-01 18:24:00
CLK00564,T00564,C004,U0087,2026-05-01 18:27:00
CLK00567,T00567,C001,U0081,2026-05-01 18:30:00
CLK00570,T00570,C002,U0176,2026-05-01 18:33:00
CLK00573,T00573,C001,U0111,2026-05-01 18:36:00
CLK00576,T00576,C005,U0016,2026-05-01 18:39:00
CLK00579,T00579,C001,U0106,2026-05-01 18:42:00
CLK00582,T00582,C001,U0074,2026-05-01 18:45:00
CLK00585,T00585,C005,U0130,2026-05-01 18:48:00
CLK00588,T00588,C001,U0090,2026-05-01 18:51:00
CLK00591,T00591,C003,U0147,2026-05-01 18:54:00
CLK00594,T00594,C005,U0158,2026-05-01 18:57:00
CLK00597,T00597,C003,U0008,2026-05-01 19:00:00
CLK00600,T00600,C003,U0002,2026-05-01 19:03:00
CLK00603,T00603,C004,U0018,2026-05-01 19:06:00
CLK00606,T00606,C005,U0056,2026-05-01 19:09:00
CLK00609,T00609,C002,U0095,2026-05-01 19:12:00
CLK00612,T00612,C005,U0153,2026-05-01 19:15:00
CLK00615,T00615,C005,U0013,2026-05-01 19:18:00
CLK00618,T00618,C004,U0125,2026-05-01 19:21:00
CLK00621,T00621,C002,U0194,2026-05-01 19:24:00
CLK00624,T00624,C001,U0073,2026-05-01 19:27:00
CLK00627,T00627,C003,U0012,2026-05-01 19:30:00
CLK00630,T00630,C001,U0053,2026-05-01 19:33:00
CLK00633,T00633,C003,U0075,2026-05-01 19:36:00
CLK00636,T00636,C004,U0045,2026-05-01 19:39:00
CLK00639,T00639,C002,U0129,2026-05-01 19:42:00
CLK00642,T00642,C004,U0190,2026-05-01 19:45:00
CLK00645,T00645,C001,U0081,2026-05-01 19:48:00
CLK00648,T00648,C004,U0075,2026-05-01 19:51:00
CLK00651,T00651,C002,U0159,2026-05-01 19:54:00
CLK00654,T00654,C004,U0028,2026-05-01 19:57:00
CLK00657,T00657,C005,U0021,2026-05-01 20:00:00
CLK00660,T00660,C003,U0200,2026-05-01 20:03:00
CLK00663,T00663,C001,U0136,2026-05-01 20:06:00
CLK00666,T00666,C002,U0061,2026-05-01 20:09:00
CLK00669,T00669,C002,U0155,2026-05-01 20:12:00
CLK00672,T00672,C004,U0119,2026-05-01 20:15:00
CLK00675,T00675,C005,U0165,2026-05-01 20:18:00
CLK00678,T00678,C004,U0018,2026-05-01 20:21:00
CLK00681,T00681,C005,U0015,2026-05-01 20:24:00
CLK00684,T00684,C004,U0116,2026-05-01 20:27:00
CLK00687,T00687,C001,U0166,2026-05-01 20:30:00
CLK00690,T00690,C004,U0119,2026-05-01 20:33:00
CLK00693,T00693,C005,U0167,2026-05-01 20:36:00
CLK00696,T00696,C005,U0039,2026-05-01 20:39:00
CLK00699,T00699,C001,U0130,2026-05-01 20:42:00
CLK00702,T00702,C004,U0113,2026-05-01 20:45:00
CLK00705,T00705,C003,U0096,2026-05-01 20:48:00
CLK00708,T00708,C003,U0174,2026-05-01 20:51:00
CLK00711,T00711,C003,U0025,2026-05-01 20:54:00
CLK00714,T00714,C003,U0186,2026-05-01 20:57:00
CLK00717,T00717,C005,U0170,2026-05-01 21:00:00
CLK00720,T00720,C004,U0034,2026-05-01 21:03:00
CLK00723,T00723,C005,U0097,2026-05-01 21:06:00
CLK00726,T00726,C004,U0131,2026-05-01 21:09:00
CLK00729,T00729,C002,U0055,2026-05-01 21:12:00
CLK00732,T00732,C002,U0036,2026-05-01 21:15:00
CLK00735,T00735,C005,U0198,2026-05-01 21:18:00
CLK00738,T00738,C003,U0197,2026-05-01 21:21:00
CLK00741,T00741,C002,U0042,2026-05-01 21:24:00
CLK00744,T00744,C004,U0012,2026-05-01 21:27:00
CLK00747,T00747,C005,U0073,2026-05-01 21:30:00
CLK00750,T00750,C003,U0121,2026-05-01 21:33:00
CLK00753,T00753,C004,U0197,2026-05-01 21:36:00
CLK00756,T00756,C005,U0108,2026-05-01 21:39:00
CLK00759,T00759,C003,U0014,2026-05-01 21:42:00
CLK00762,T00762,C005,U0032,2026-05-01 21:45:00
CLK00765,T00765,C004,U0132,2026-05-01 21:48:00
CLK00768,T00768,C004,U0090,2026-05-01 21:51:00
CLK00771,T00771,C005,U0096,2026-05-01 21:54:00
CLK00774,T00774,C002,U0008,2026-05-01 21:57:00
CLK00777,T00777,C002,U0010,2026-05-01 22:00:00
CLK00780,T00780,C004,U0115,2026-05-01 22:03:00
CLK00783,T00783,C003,U0056,2026-05-01 22:06:00
CLK00786,T00786,C004,U0029,2026-05-01 22:09:00
CLK00789,T00789,C001,U0062,2026-05-01 22:12:00
CLK00792,T00792,C001,U0029,2026-05-01 22:15:00
CLK00795,T00795,C005,U0148,2026-05-01 22:18:00
CLK00798,T00798,C004,U0001,2026-05-01 22:21:00
CLK00801,T00801,C004,U0048,2026-05-01 22:24:00
CLK00804,T00804,C005,U0140,2026-05-01 22:27:00
CLK00807,T00807,C004,U0121,2026-05-01 22:30:00
CLK00810,T00810,C003,U0192,2026-05-01 22:33:00
CLK00813,T00813,C002,U0188,2026-05-01 22:36:00
CLK00816,T00816,C003,U0035,2026-05-01 22:39:00
CLK00819,T00819,C002,U0200,2026-05-01 22:42:00
CLK00822,T00822,C002,U0035,2026-05-01 22:45:00
CLK00825,T00825,C003,U0052,2026-05-01 22:48:00
CLK00828,T00828,C003,U0132,2026-05-01 22:51:00
CLK00831,T00831,C001,U0193,2026-05-01 22:54:00
CLK00834,T00834,C001,U0168,2026-05-01 22:57:00
CLK00837,T00837,C004,U0103,2026-05-01 23:00:00
CLK00840,T00840,C004,U0178,2026-05-01 23:03:00
CLK00843,T00843,C001,U0187,2026-05-01 23:06:00
CLK00846,T00846,C002,U0140,2026-05-01 23:09:00
CLK00849,T00849,C003,U0170,2026-05-01 23:12:00
CLK00852,T00852,C004,U0043,2026-05-01 23:15:00
CLK00855,T00855,C003,U0158,2026-05-01 23:18:00
CLK00858,T00858,C004,U0094,2026-05-01 23:21:00
CLK00861,T00861,C002,U0156,2026-05-01 23:24:00
CLK00864,T00864,C002,U0200,2026-05-01 23:27:00
CLK00867,T00867,C001,U0155,2026-05-01 23:30:00
CLK00870,T00870,C003,U0114,2026-05-01 23:33:00
CLK00873,T00873,C003,U0102,2026-05-01 23:36:00
CLK00876,T00876,C001,U0007,2026-05-01 23:39:00
CLK00879,T00879,C005,U0031,2026-05-01 23:42:00
CLK00882,T00882,C004,U0055,2026-05-01 23:45:00
CLK00885,T00885,C001,U0035,2026-05-01 23:48:00
CLK00888,T00888,C004,U0023,2026-05-01 23:51:00
CLK00891,T00891,C001,U0141,2026-05-01 23:54:00
CLK00894,T00894,C002,U0093,2026-05-01 23:57:00
CLK00897,T00897,C002,U0061,2026-05-02 00:00:00
CLK00900,T00900,C005,U0095,2026-05-02 00:03:00
CLK00903,T00903,C001,U0017,2026-05-02 00:06:00
CLK00906,T00906,C004,U0197,2026-05-02 00:09:00
CLK00909,T00909,C003,U0165,2026-05-02 00:12:00
CLK00912,T00912,C005,U0089,2026-05-02 00:15:00
CLK00915,T00915,C005,U0047,2026-05-02 00:18:00
CLK00918,T00918,C001,U0133,2026-05-02 00:21:00
CLK00921,T00921,C003,U0182,2026-05-02 00:24:00
CLK00924,T00924,C001,U0065,2026-05-02 00:27:00
CLK00927,T00927,C002,U0161,2026-05-02 00:30:00
CLK00930,T00930,C005,U0165,2026-05-02 00:33:00
CLK00933,T00933,C002,U0169,2026-05-02 00:36:00
CLK00936,T00936,C005,U0011,2026-05-02 00:39:00
CLK00939,T00939,C005,U0068,2026-05-02 00:42:00
CLK00942,T00942,C005,U0164,2026-05-02 00:45:00
CLK00945,T00945,C003,U0124,2026-05-02 00:48:00
CLK00948,T00948,C004,U0019,2026-05-02 00:51:00
CLK00951,T00951,C004,U0119,2026-05-02 00:54:00
CLK00954,T00954,C003,U0184,2026-05-02 00:57:00
CLK00957,T00957,C002,U0195,2026-05-02 01:00:00
CLK00960,T00960,C003,U0062,2026-05-02 01:03:00
CLK00963,T00963,C002,U0037,2026-05-02 01:06:00
CLK00966,T00966,C005,U0108,2026-05-02 01:09:00
CLK00969,T00969,C003,U0049,2026-05-02 01:12:00
CLK00972,T00972,C004,U0079,2026-05-02 01:15:00
CLK00975,T00975,C005,U0118,2026-05-02 01:18:00
CLK00978,T00978,C001,U0013,2026-05-02 01:21:00
CLK00981,T00981,C004,U0074,2026-05-02 01:24:00
CLK00984,T00984,C002,U0068,2026-05-02 01:27:00
CLK00987,T00987,C001,U0103,2026-05-02 01:30:00
CLK00990,T00990,C003,U0142,2026-05-02 01:33:00
CLK00993,T00993,C004,U0196,2026-05-02 01:36:00
CLK00996,T00996,C005,U0031,2026-05-02 01:39:00
CLK00999,T00999,C003,U0143,2026-05-02 01:42:00
CLK01002,T01002,C005,U0131,2026-05-02 01:45:00
CLK01005,T01005,C001,U0036,2026-05-02 01:48:00
CLK01008,T01008,C002,U0156,2026-05-02 01:51:00
CLK01011,T01011,C003,U0042,2026-05-02 01:54:00
CLK01014,T01014,C003,U0130,2026-05-02 01:57:00
CLK01017,T01017,C005,U0077,2026-05-02 02:00:00
CLK01020,T01020,C001,U0107,2026-05-02 02:03:00
CLK01023,T01023,C004,U0068,2026-05-02 02:06:00
CLK01026,T01026,C001,U0150,2026-05-02 02:09:00
CLK01029,T01029,C005,U0199,2026-05-02 02:12:00
CLK01032,T01032,C005,U0180,2026-05-02 02:15:00
CLK01035,T01035,C003,U0108,2026-05-02 02:18:00
CLK01038,T01038,C005,U0199,2026-05-02 02:21:00
CLK01041,T01041,C002,U0133,2026-05-02 02:24:00
CLK01044,T01044,C004,U0135,2026-05-02 02:27:00
CLK01047,T01047,C005,U0088,2026-05-02 02:30:00
CLK01050,T01050,C004,U0050,2026-05-02 02:33:00
CLK01053,T01053,C002,U0077,2026-05-02 02:36:00
CLK01056,T01056,C004,U0082,2026-05-02 02:39:00
CLK01059,T01059,C003,U0074,2026-05-02 02:42:00
CLK01062,T01062,C004,U0089,2026-05-02 02:45:00
CLK01065,T01065,C001,U0089,2026-05-02 02:48:00
CLK01068,T01068,C004,U0055,2026-05-02 02:51:00
CLK01071,T01071,C003,U0036,2026-05-02 02:54:00
CLK01074,T01074,C002,U0013,2026-05-02 02:57:00
CLK01077,T01077,C001,U0106,2026-05-02 03:00:00
CLK01080,T01080,C002,U0002,2026-05-02 03:03:00
CLK01083,T01083,C004,U0123,2026-05-02 03:06:00
CLK01086,T01086,C003,U0166,2026-05-02 03:09:00
CLK01089,T01089,C005,U0060,2026-05-02 03:12:00
CLK01092,T01092,C004,U0046,2026-05-02 03:15:00
CLK01095,T01095,C003,U0010,2026-05-02 03:18:00
CLK01098,T01098,C001,U0086,2026-05-02 03:21:00
CLK01101,T01101,C004,U0035,2026-05-02 03:24:00
CLK01104,T01104,C001,U0085,2026-05-02 03:27:00
CLK01107,T01107,C003,U0184,2026-05-02 03:30:00
CLK01110,T01110,C005,U0173,2026-05-02 03:33:00
CLK01113,T01113,C004,U0110,2026-05-02 03:36:00
CLK01116,T01116,C001,U0048,2026-05-02 03:39:00
CLK01119,T01119,C001,U0067,2026-05-02 03:42:00
CLK01122,T01122,C003,U0085,2026-05-02 03:45:00
CLK01125,T01125,C003,U0168,2026-05-02 03:48:00
CLK01128,T01128,C001,U0120,2026-05-02 03:51:00
CLK01131,T01131,C005,U0181,2026-05-02 03:54:00
CLK01134,T01134,C003,U0095,2026-05-02 03:57:00
CLK01137,T01137,C004,U0040,2026-05-02 04:00:00
CLK01140,T01140,C004,U0180,2026-05-02 04:03:00
CLK01143,T01143,C002,U0196,2026-05-02 04:06:00
CLK01146,T01146,C005,U0115,2026-05-02 04:09:00
CLK01149,T01149,C005,U0029,2026-05-02 04:12:00
CLK01152,T01152,C005,U0138,2026-05-02 04:15:00
CLK01155,T01155,C004,U0030,2026-05-02 04:18:00
CLK01158,T01158,C001,U0131,2026-05-02 04:21:00
CLK01161,T01161,C005,U0107,2026-05-02 04:24:00
CLK01164,T01164,C004,U0173,2026-05-02 04:27:00
CLK01167,T01167,C003,U0001,2026-05-02 04:30:00
CLK01170,T01170,C004,U0089,2026-05-02 04:33:00
CLK01173,T01173,C004,U0009,2026-05-02 04:36:00
CLK01176,T01176,C002,U0197,2026-05-02 04:39:00
CLK01179,T01179,C004,U0097,2026-05-02 04:42:00
CLK01182,T01182,C003,U0031,2026-05-02 04:45:00
CLK01185,T01185,C002,U0187,2026-05-02 04:48:00
CLK01188,T01188,C004,U0173,2026-05-02 04:51:00
CLK01191,T01191,C002,U0064,2026-05-02 04:54:00
CLK01194,T01194,C002,U0186,2026-05-02 04:57:00
CLK01197,T01197,C001,U0062,2026-05-02 05:00:00
CLK01200,T01200,C001,U0115,2026-05-02 05:03:00
CLK01203,T01203,C001,U0103,2026-05-02 05:06:00
CLK01206,T01206,C001,U0036,2026-05-02 05:09:00
CLK01209,T01209,C005,U0082,2026-05-02 05:12:00
CLK01212,T01212,C003,U0037,2026-05-02 05:15:00
CLK01215,T01215,C003,U0016,2026-05-02 05:18:00
CLK01218,T01218,C004,U0143,2026-05-02 05:21:00
CLK01221,T01221,C004,U0135,2026-05-02 05:24:00
CLK01224,T01224,C002,U0077,2026-05-02 05:27:00
CLK01227,T01227,C002,U0058,2026-05-02 05:30:00
CLK01230,T01230,C001,U0144,2026-05-02 05:33:00
CLK01233,T01233,C002,U0100,2026-05-02 05:36:00
CLK01236,T01236,C001,U0116,2026-05-02 05:39:00
CLK01239,T01239,C002,U0014,2026-05-02 05:42:00
CLK01242,T01242,C001,U0019,2026-05-02 05:45:00
CLK01245,T01245,C005,U0056,2026-05-02 05:48:00
CLK01248,T01248,C001,U0055,2026-05-02 05:51:00
CLK01251,T01251,C004,U0063,2026-05-02 05:54:00
CLK01254,T01254,C002,U0142,2026-05-02 05:57:00
CLK01257,T01257,C004,U0137,2026-05-02 06:00:00
CLK01260,T01260,C005,U0128,2026-05-02 06:03:00
CLK01263,T01263,C003,U0053,2026-05-02 06:06:00
CLK01266,T01266,C005,U0057,2026-05-02 06:09:00
CLK01269,T01269,C005,U0149,2026-05-02 06:12:00
CLK01272,T01272,C003,U0059,2026-05-02 06:15:00
CLK01275,T01275,C005,U0168,2026-05-02 06:18:00
CLK01278,T01278,C004,U0118,2026-05-02 06:21:00
CLK01281,T01281,C002,U0185,2026-05-02 06:24:00
CLK01284,T01284,C001,U0135,2026-05-02 06:27:00
CLK01287,T01287,C001,U0106,2026-05-02 06:30:00
CLK01290,T01290,C002,U0003,2026-05-02 06:33:00
CLK01293,T01293,C001,U0159,2026-05-02 06:36:00
CLK01296,T01296,C001,U0137,2026-05-02 06:39:00
CLK01299,T01299,C005,U0185,2026-05-02 06:42:00
CLK01302,T01302,C005,U0179,2026-05-02 06:45:00
CLK01305,T01305,C005,U0039,2026-05-02 06:48:00
CLK01308,T01308,C003,U0091,2026-05-02 06:51:00
CLK01311,T01311,C004,U0118,2026-05-02 06:54:00
CLK01314,T01314,C001,U0168,2026-05-02 06:57:00
CLK01317,T01317,C004,U0142,2026-05-02 07:00:00
CLK01320,T01320,C002,U0022,2026-05-02 07:03:00
CLK01323,T01323,C001,U0136,2026-05-02 07:06:00
CLK01326,T01326,C005,U0122,2026-05-02 07:09:00
CLK01329,T01329,C003,U0140,2026-05-02 07:12:00
CLK01332,T01332,C003,U0005,2026-05-02 07:15:00
CLK01335,T01335,C004,U0020,2026-05-02 07:18:00
CLK01338,T01338,C005,U0100,2026-05-02 07:21:00
CLK01341,T01341,C002,U0177,2026-05-02 07:24:00
CLK01344,T01344,C001,U0112,2026-05-02 07:27:00
CLK01347,T01347,C005,U0153,2026-05-02 07:30:00
CLK01350,T01350,C003,U0116,2026-05-02 07:33:00
CLK01353,T01353,C004,U0111,2026-05-02 07:36:00
CLK01356,T01356,C004,U0022,2026-05-02 07:39:00
CLK01359,T01359,C001,U0022,2026-05-02 07:42:00
CLK01362,T01362,C002,U0190,2026-05-02 07:45:00
CLK01365,T01365,C001,U0002,2026-05-02 07:48:00
CLK01368,T01368,C003,U0027,2026-05-02 07:51:00
CLK01371,T01371,C004,U0143,2026-05-02 07:54:00
CLK01374,T01374,C001,U0023,2026-05-02 07:57:00
CLK01377,T01377,C005,U0084,2026-05-02 08:00:00
CLK01380,T01380,C004,U0200,2026-05-02 08:03:00
CLK01383,T01383,C005,U0134,2026-05-02 08:06:00
CLK01386,T01386,C002,U0069,2026-05-02 08:09:00
CLK01389,T01389,C001,U0043,2026-05-02 08:12:00
CLK01392,T01392,C004,U0020,2026-05-02 08:15:00
CLK01395,T01395,C004,U0153,2026-05-02 08:18:00
