order_id,campaign_id,user_id,order_amount,order_status,order_time
O00484,C002,U0121,160,submitted,2026-05-01 17:14:00
O00495,C001,U0061,80,submitted,2026-05-01 17:25:00
O00506,C004,U0114,100,submitted,2026-05-01 17:36:00
O00517,C002,U0033,120,submitted,2026-05-01 17:47:00
O00528,C001,U0034,140,submitted,2026-05-01 17:58:00
O00539,C005,U0028,160,submitted,2026-05-01 18:09:00
O00550,C001,U0083,80,submitted,2026-05-01 18:20:00
O00561,C005,U0185,100,submitted,2026-05-01 18:31:00
O00572,C001,U0022,120,submitted,2026-05-01 18:42:00
O00583,C005,U0080,140,submitted,2026-05-01 18:53:00
O00594,C005,U0158,160,submitted,2026-05-01 19:04:00
O00605,C001,U0024,80,submitted,2026-05-01 19:15:00
O00616,C001,U0070,100,submitted,2026-05-01 19:26:00
O00627,C003,U0012,120,submitted,2026-05-01 19:37:00
O00638,C005,U0181,140,submitted,2026-05-01 19:48:00
O00649,C001,U0104,160,submitted,2026-05-01 19:59:00
O00660,C003,U0200,80,submitted,2026-05-01 20:10:00
O00671,C001,U0046,100,submitted,2026-05-01 20:21:00
O00682,C003,U0130,120,submitted,2026-05-01 20:32:00
O00693,C005,U0167,140,submitted,2026-05-01 20:43:00
O00704,C005,U0041,160,submitted,2026-05-01 20:54:00
O00715,C005,U0039,80,submitted,2026-05-01 21:05:00
O00726,C004,U0131,100,submitted,2026-05-01 21:16:00
O00737,C005,U0010,120,submitted,2026-05-01 21:27:00
O00748,C004,U0060,140,submitted,2026-05-01 21:38:00
O00759,C003,U0014,160,submitted,2026-05-01 21:49:00
O00770,C001,U0102,80,submitted,2026-05-01 22:00:00
O00781,C005,U0002,100,submitted,2026-05-01 22:11:00
O00792,C001,U0029,120,submitted,2026-05-01 22:22:00
O00803,C003,U0018,140,submitted,2026-05-01 22:33:00
O00814,C001,U0198,160,submitted,2026-05-01 22:44:00
O00825,C003,U0052,80,submitted,2026-05-01 22:55:00
O00836,C001,U0095,100,submitted,2026-05-01 23:06:00
O00847,C003,U0083,120,submitted,2026-05-01 23:17:00
O00858,C004,U0094,140,submitted,2026-05-01 23:28:00
O00869,C004,U0095,160,submitted,2026-05-01 23:39:00
O00880,C003,U0199,80,submitted,2026-05-01 23:50:00
O00891,C001,U0141,100,submitted,2026-05-02 00:01:00
O00902,C002,U0157,120,submitted,2026-05-02 00:12:00
O00913,C002,U0200,140,submitted,2026-05-02 00:23:00
O00924,C001,U0065,160,submitted,2026-05-02 00:34:00
O00935,C005,U0087,80,submitted,2026-05-02 00:45:00
O00946,C002,U0176,100,submitted,2026-05-02 00:56:00
O00957,C002,U0195,120,submitted,2026-05-02 01:07:00
O00968,C003,U0148,140,submitted,2026-05-02 01:18:00
O00979,C003,U0127,160,submitted,2026-05-02 01:29:00
O00990,C003,U0142,80,submitted,2026-05-02 01:40:00
O01001,C002,U0051,100,submitted,2026-05-02 01:51:00
O01012,C004,U0158,120,submitted,2026-05-02 02:02:00
O01023,C004,U0068,140,submitted,2026-05-02 02:13:00
O01034,C001,U0113,160,submitted,2026-05-02 02:24:00
O01045,C004,U0081,80,submitted,2026-05-02 02:35:00
O01056,C004,U0082,100,submitted,2026-05-02 02:46:00
O01067,C003,U0192,120,submitted,2026-05-02 02:57:00
O01078,C003,U0184,140,submitted,2026-05-02 03:08:00
O01089,C005,U0060,160,submitted,2026-05-02 03:19:00
O01100,C005,U0135,80,submitted,2026-05-02 03:30:00
O01111,C002,U0045,100,submitted,2026-05-02 03:41:00
O01122,C003,U0085,120,submitted,2026-05-02 03:52:00
O01133,C001,U0164,140,submitted,2026-05-02 04:03:00
O01144,C002,U0175,160,submitted,2026-05-02 04:14:00
O01155,C004,U0030,80,submitted,2026-05-02 04:25:00
O01166,C001,U0102,100,submitted,2026-05-02 04:36:00
O01177,C004,U0096,120,submitted,2026-05-02 04:47:00
O01188,C004,U0173,140,submitted,2026-05-02 04:58:00
O01199,C001,U0153,160,submitted,2026-05-02 05:09:00
O01210,C005,U0154,80,submitted,2026-05-02 05:20:00
O01221,C004,U0135,100,submitted,2026-05-02 05:31:00
O01232,C005,U0136,120,submitted,2026-05-02 05:42:00
O01243,C002,U0195,140,submitted,2026-05-02 05:53:00
O01254,C002,U0142,160,submitted,2026-05-02 06:04:00
O01265,C004,U0012,80,submitted,2026-05-02 06:15:00
O01276,C003,U0066,100,submitted,2026-05-02 06:26:00
O01287,C001,U0106,120,submitted,2026-05-02 06:37:00
O01298,C001,U0005,140,submitted,2026-05-02 06:48:00
O01309,C003,U0102,160,submitted,2026-05-02 06:59:00
O01320,C002,U0022,80,submitted,2026-05-02 07:10:00
O01331,C001,U0046,100,submitted,2026-05-02 07:21:00
O01342,C001,U0129,120,submitted,2026-05-02 07:32:00
O01353,C004,U0111,140,submitted,2026-05-02 07:43:00
O01364,C003,U0028,160,submitted,2026-05-02 07:54:00
O01375,C003,U0142,80,submitted,2026-05-02 08:05:00
O01386,C002,U0069,100,submitted,2026-05-02 08:16:00
O01397,C004,U0028,120,submitted,2026-05-02 08:27:00
O01408,C003,U0046,140,submitted,2026-05-02 08:38:00
O01419,C004,U0182,160,submitted,2026-05-02 08:49:00
O01430,C005,U0103,80,submitted,2026-05-02 09:00:00
O01441,C003,U0111,100,submitted,2026-05-02 09:11:00
O01452,C003,U0007,120,submitted,2026-05-02 09:22:00
O01463,C001,U0077,140,submitted,2026-05-02 09:33:00
O01474,C004,U0162,160,submitted,2026-05-02 09:44:00
O01485,C001,U0138,80,submitted,2026-05-02 09:55:00
O01496,C005,U0045,100,submitted,2026-05-02 10:06:00
O01507,C004,U0048,120,submitted,2026-05-02 10:17:00
O01518,C004,U0144,140,submitted,2026-05-02 10:28:00
O01529,C004,U0145,160,submitted,2026-05-02 10:39:00
O01540,C002,U0077,80,submitted,2026-05-02 10:50:00
O01551,C002,U0053,100,submitted,2026-05-02 11:01:00
O01562,C003,U0168,120,submitted,2026-05-02 11:12:00
O01573,C005,U0192,140,submitted,2026-05-02 11:23:00
O01584,C003,U0083,160,submitted,2026-05-02 11:34:00
O01595,C002,U0177,80,submitted,2026-05-02 11:45:00
O01606,C001,U0001,100,submitted,2026-05-02 11:56:00
O01617,C004,U0023,120,submitted,2026-05-02 12:07:00
O01628,C002,U0161,140,submitted,2026-05-02 12:18:00
O01639,C001,U0064,160,submitted,2026-05-02 12:29:00
O01650,C001,U0062,80,submitted,2026-05-02 12:40:00
O01661,C005,U0018,100,submitted,2026-05-02 12:51:00
O01672,C003,U0021,120,submitted,2026-05-02 13:02:00
O01683,C005,U0015,140,submitted,2026-05-02 13:13:00
O01694,C001,U0198,160,submitted,2026-05-02 13:24:00
O01705,C002,U0066,80,submitted,2026-05-02 13:35:00
O01716,C003,U0064,100,submitted,2026-05-02 13:46:00
O01727,C003,U0084,120,submitted,2026-05-02 13:57:00
O01738,C002,U0039,140,submitted,2026-05-02 14:08:00
O01749,C002,U0183,160,submitted,2026-05-02 14:19:00
O01760,C002,U0061,80,submitted,2026-05-02 14:30:00
O01771,C004,U0031,100,submitted,2026-05-02 14:41:00
O01782,C004,U0132,120,submitted,2026-05-02 14:52:00
O01793,C002,U0034,140,submitted,2026-05-02 15:03:00
O01804,C002,U0147,160,submitted,2026-05-02 15:14:00
O01815,C003,U0128,80,submitted,2026-05-02 15:25:00
O01826,C003,U0145,100,submitted,2026-05-02 15:36:00
O01837,C002,U0169,120,submitted,2026-05-02 15:47:00
O01848,C003,U0146,140,submitted,2026-05-02 15:58:00
O01859,C005,U0052,160,submitted,2026-05-02 16:09:00
O01870,C003,U0083,80,submitted,2026-05-02 16:20:00
O01881,C002,U0187,100,submitted,2026-05-02 16:31:00
O01892,C003,U0082,120,submitted,2026-05-02 16:42:00
O01903,C004,U0127,140,submitted,2026-05-02 16:53:00
O01914,C002,U0097,160,submitted,2026-05-02 17:04:00
O01925,C002,U0105,80,submitted,2026-05-02 17:15:00
O01936,C005,U0123,100,submitted,2026-05-02 17:26:00
O01947,C004,U0095,120,submitted,2026-05-02 17:37:00
O01958,C005,U0016,140,submitted,2026-05-02 17:48:00
O01969,C001,U0194,160,submitted,2026-05-02 17:59:00
O01980,C004,U0142,80,submitted,2026-05-02 18:10:00
O01991,C005,U0200,100,submitted,2026-05-02 18:21:00
