claim_id,campaign_id,user_id,claim_time
CLM01072,C001,U0158,2026-05-02 02:57:00
CLM01080,C002,U0002,2026-05-02 03:05:00
CLM01088,C001,U0167,2026-05-02 03:13:00
CLM01096,C001,U0077,2026-05-02 03:21:00
CLM01104,C001,U0085,2026-05-02 03:29:00
CLM01112,C005,U0164,2026-05-02 03:37:00
CLM01120,C004,U0061,2026-05-02 03:45:00
CLM01128,C001,U0120,2026-05-02 03:53:00
CLM01136,C002,U0035,2026-05-02 04:01:00
CLM01144,C002,U0175,2026-05-02 04:09:00
CLM01152,C005,U0138,2026-05-02 04:17:00
CLM01160,C004,U0034,2026-05-02 04:25:00
CLM01168,C002,U0149,2026-05-02 04:33:00
CLM01176,C002,U0197,2026-05-02 04:41:00
CLM01184,C004,U0136,2026-05-02 04:49:00
CLM01192,C004,U0089,2026-05-02 04:57:00
CLM01200,C001,U0115,2026-05-02 05:05:00
CLM01208,C002,U0188,2026-05-02 05:13:00
CLM01216,C005,U0152,2026-05-02 05:21:00
CLM01224,C002,U0077,2026-05-02 05:29:00
CLM01232,C005,U0136,2026-05-02 05:37:00
CLM01240,C003,U0097,2026-05-02 05:45:00
CLM01248,C001,U0055,2026-05-02 05:53:00
CLM01256,C003,U0098,2026-05-02 06:01:00
CLM01264,C003,U0081,2026-05-02 06:09:00
CLM01272,C003,U0059,2026-05-02 06:17:00
CLM01280,C003,U0044,2026-05-02 06:25:00
CLM01288,C002,U0162,2026-05-02 06:33:00
CLM01296,C001,U0137,2026-05-02 06:41:00
CLM01304,C001,U0025,2026-05-02 06:49:00
CLM01312,C005,U0063,2026-05-02 06:57:00
CLM01320,C002,U0022,2026-05-02 07:05:00
CLM01328,C001,U0176,2026-05-02 07:13:00
CLM01336,C003,U0042,2026-05-02 07:21:00
CLM01344,C001,U0112,2026-05-02 07:29:00
CLM01352,C003,U0142,2026-05-02 07:37:00
CLM01360,C003,U0040,2026-05-02 07:45:00
CLM01368,C003,U0027,2026-05-02 07:53:00
CLM01376,C001,U0153,2026-05-02 08:01:00
CLM01384,C002,U0176,2026-05-02 08:09:00
CLM01392,C004,U0020,2026-05-02 08:17:00
CLM01400,C003,U0159,2026-05-02 08:25:00
CLM01408,C003,U0046,2026-05-02 08:33:00
CLM01416,C002,U0152,2026-05-02 08:41:00
CLM01424,C003,U0062,2026-05-02 08:49:00
CLM01432,C004,U0140,2026-05-02 08:57:00
CLM01440,C004,U0193,2026-05-02 09:05:00
CLM01448,C004,U0096,2026-05-02 09:13:00
CLM01456,C002,U0090,2026-05-02 09:21:00
CLM01464,C001,U0182,2026-05-02 09:29:00
CLM01472,C005,U0110,2026-05-02 09:37:00
CLM01480,C004,U0100,2026-05-02 09:45:00
CLM01488,C004,U0030,2026-05-02 09:53:00
CLM01496,C005,U0045,2026-05-02 10:01:00
CLM01504,C004,U0108,2026-05-02 10:09:00
CLM01512,C003,U0036,2026-05-02 10:17:00
CLM01520,C004,U0105,2026-05-02 10:25:00
CLM01528,C003,U0044,2026-05-02 10:33:00
CLM01536,C001,U0195,2026-05-02 10:41:00
CLM01544,C001,U0199,2026-05-02 10:49:00
CLM01552,C001,U0146,2026-05-02 10:57:00
CLM01560,C001,U0035,2026-05-02 11:05:00
CLM01568,C002,U0148,2026-05-02 11:13:00
CLM01576,C004,U0084,2026-05-02 11:21:00
CLM01584,C003,U0083,2026-05-02 11:29:00
CLM01592,C001,U0041,2026-05-02 11:37:00
CLM01600,C001,U0096,2026-05-02 11:45:00
CLM01608,C001,U0034,2026-05-02 11:53:00
CLM01616,C001,U0059,2026-05-02 12:01:00
CLM01624,C005,U0145,2026-05-02 12:09:00
CLM01632,C001,U0026,2026-05-02 12:17:00
CLM01640,C005,U0154,2026-05-02 12:25:00
CLM01648,C001,U0062,2026-05-02 12:33:00
CLM01656,C005,U0108,2026-05-02 12:41:00
CLM01664,C001,U0102,2026-05-02 12:49:00
CLM01672,C003,U0021,2026-05-02 12:57:00
CLM01680,C002,U0023,2026-05-02 13:05:00
CLM01688,C001,U0042,2026-05-02 13:13:00
CLM01696,C004,U0070,2026-05-02 13:21:00
CLM01704,C002,U0095,2026-05-02 13:29:00
CLM01712,C004,U0039,2026-05-02 13:37:00
CLM01720,C003,U0031,2026-05-02 13:45:00
CLM01728,C001,U0142,2026-05-02 13:53:00
CLM01736,C002,U0188,2026-05-02 14:01:00
CLM01744,C004,U0189,2026-05-02 14:09:00
CLM01752,C005,U0106,2026-05-02 14:17:00
CLM01760,C002,U0061,2026-05-02 14:25:00
CLM01768,C002,U0028,2026-05-02 14:33:00
CLM01776,C001,U0041,2026-05-02 14:41:00
CLM01784,C003,U0067,2026-05-02 14:49:00
CLM01792,C001,U0200,2026-05-02 14:57:00
CLM01800,C004,U0033,2026-05-02 15:05:00
CLM01808,C004,U0045,2026-05-02 15:13:00
CLM01816,C004,U0141,2026-05-02 15:21:00
CLM01824,C003,U0123,2026-05-02 15:29:00
CLM01832,C003,U0015,2026-05-02 15:37:00
CLM01840,C001,U0196,2026-05-02 15:45:00
CLM01848,C003,U0146,2026-05-02 15:53:00
CLM01856,C002,U0006,2026-05-02 16:01:00
CLM01864,C002,U0199,2026-05-02 16:09:00
CLM01872,C004,U0164,2026-05-02 16:17:00
CLM01880,C003,U0033,2026-05-02 16:25:00
CLM01888,C005,U0027,2026-05-02 16:33:00
CLM01896,C001,U0068,2026-05-02 16:41:00
CLM01904,C004,U0090,2026-05-02 16:49:00
CLM01912,C003,U0027,2026-05-02 16:57:00
CLM01920,C001,U0111,2026-05-02 17:05:00
CLM01928,C003,U0077,2026-05-02 17:13:00
CLM01936,C005,U0123,2026-05-02 17:21:00
CLM01944,C003,U0024,2026-05-02 17:29:00
CLM01952,C003,U0145,2026-05-02 17:37:00
CLM01960,C004,U0138,2026-05-02 17:45:00
CLM01968,C005,U0038,2026-05-02 17:53:00
CLM01976,C002,U0153,2026-05-02 18:01:00
CLM01984,C005,U0151,2026-05-02 18:09:00
CLM01992,C001,U0074,2026-05-02 18:17:00
CLM02000,C002,U0159,2026-05-02 18:25:00
